id;slug;name;lat;lon;seo_title;seo_desc;h1_headline;spot_description;best_wind;danger_info
11;amrum-kniepsand;Amrum - Kniepsand;54.6405;8.3120;Kitespot Amrum Kniepsand: ICON-D2 Wind & Spotguide;ICON-D2 Windvorhersage für den Kniepsand auf Amrum. Kitesurfen auf einer der größten Sandbänke Europas.;Kitesurfen auf dem Kniepsand (Amrum);Der Kniepsand auf Amrum ist eine gigantische, wandernde Sandbank vor der Insel. Kiter finden hier unendlich viel Platz und eine atemberaubende Naturkulisse. Je nach Tide gibt es auf der offenen Seeseite Brandungswellen und in den Prielen spiegelglattes Flachwasser.;Optimal bei Wind aus Südwest, West und Nordwest (side-onshore bis onshore). Reiner Süd- oder Nordwind weht genau parallel zum Strand.;Der Weg vom Parkplatz durch die Dünen bis zur Wasserkante ist extrem weit und gleicht einer kleinen Wanderung (Materialtransport einplanen!). Keine Rettungsstation in direkter Nähe, nur für autarke Kiter.
12;foehr-goting-cliff;Föhr - Goting Cliff;54.6820;8.4890;Kitespot Föhr Goting Cliff: ICON-D2 Windreport;Aktuelle ICON-D2 Windvorhersage für das Goting Cliff auf Föhr. Infos zum Spot für fortgeschrittene Kitesurfer.;Kitesurfen am Goting Cliff (Föhr);Das Goting Cliff im Süden von Föhr ist ein landschaftlich spektakulärer Spot. Bei Flut und starkem Wind aus Südwest baut sich hier eine ordentliche Welle auf, die über einer Sandbank bricht. Bei Ebbe zieht sich das Wasser komplett zurück.;Funktioniert am besten bei Wind aus Süd, Südwest und West. Bei Nordwind liegt der Spot im Windschatten der Insel.;Der Untergrund ist teilweise mit Steinen und Muschelfeldern durchsetzt, weshalb Neoprenschuhe ratsam sind. Aufgrund der Buhnen und der Steine ist der Spot absolut ungeeignet für Anfänger.
13;foehr-utersum;Föhr - Utersum;54.7115;8.3940;Kitespot Föhr Utersum: ICON-D2 Windvorhersage;Hochaufgelöste ICON-D2 Windvorhersage für Utersum auf Föhr. Das riesige Stehrevier mit Blick auf Amrum und Sylt.;Kitesurfen in Utersum (Föhr);Utersum an der Westküste von Föhr ist der absolute Hauptspot der Insel. Bei Hochwasser entsteht hier ein riesiges, stehtiefes Flachwasserbecken, das durch vorgelagerte Sandbänke geschützt wird. Der Spot bietet perfekte Bedingungen für Anfänger und Freestyler.;Ausgezeichnet bei Wind aus Südwest, West und Nordwest. Bei Westwind schaut man beim Kiten direkt auf die Nachbarinseln Sylt und Amrum.;Der Spot ist extrem tideabhängig – ca. 2 Stunden vor und nach Hochwasser ist die beste Zeit. Bei Ebbe zieht sich das Wasser kilometerweit zurück und das Kiten ist unmöglich.
14;cuxhaven-sahlenburg;Cuxhaven - Sahlenburg;53.8645;8.5905;Kitespot Cuxhaven Sahlenburg: ICON-D2 Wind & Tide;ICON-D2 Windvorhersage für Cuxhaven-Sahlenburg. Beliebtes Wattenmeer-Revier mit großer Kitesurf-Zone.;Kitesurfen in Cuxhaven – Sahlenburg;Sahlenburg ist einer der Top-Spots an der Elbmündung. Bei Flut entsteht hier ein sehr schönes Flachwasser- und Freeride-Revier mit großem Stehbereich. Dank der ausgewiesenen Kitezone direkt am Rettungsturm ist die Infrastruktur vor Ort hervorragend.;Perfekt bei Wind aus Südwest, West und Nordwest. Nordwind steht genau onshore (auflandig). Östliche Winde sind komplett ablandig.;Strenge Gezeitenabhängigkeit: Kiten ist nur ca. 3 Stunden rund um das Hochwasser möglich. Der Nationalpark Wattenmeer grenzt direkt an, die Schutzzonen dürfen unter keinen Umständen befahren werden.
15;cuxhaven-kugelbake;Cuxhaven - Kugelbake;53.8915;8.6830;Kitespot Cuxhaven Kugelbake: ICON-D2 Live-Wind;Aktueller ICON-D2 Windreport für die Kugelbake in Cuxhaven. Anspruchsvoller Strömungsspot an der Elbmündung.;Kitesurfen an der Kugelbake (Cuxhaven);Der Spot an der Kugelbake (Döse) liegt direkt am markanten Wahrzeichen Cuxhavens, wo die Elbe in die offene Nordsee übergeht. Hier kitet man in einer echten Flussmündung mit ordentlich Kabbelwelle und einer beeindruckenden Kulisse direkt neben den großen Containerschiffen.;Optimal bei Wind aus West-Nordwest, Nordwest und Nord. Bei Wind aus Ost bis Nordost ebenfalls gut fahrbar.;Nur für absolute Profis! Hier herrscht eine extrem starke Strömung durch die Elbe und den Gezeitenwechsel. Es gibt keinen Stehbereich und im Sommer blockieren Tausende Badegäste den Strand.
16;norddeich-badestrand;Norddeich - Badestrand;53.6240;7.1510;Kitespot Norddeich Badestrand: ICON-D2 Wind;ICON-D2 Windvorhersage für den Kitesurfstrand in Norddeich. Riesiges Stehrevier im ostfriesischen Wattenmeer.;Kitesurfen am Badestrand in Norddeich;Norddeich besitzt eine der größten und am besten organisierten Kitesurfen-Zonen an der ostfriesischen Küste. Bei Hochwasser bietet der Spot ein riesiges, stehtiefes Revier mit feinem Sanduntergrund – ideal für Schulungen, Anfänger und Freestyler.;Hervorragend bei Wind aus Südwest, West, Nordwest und Nord. Bei Nordwind baut sich eine kleine Kabbelwelle auf.;Der Spot ist strikt tideabhängig (nutzbar ca. 2 bis 3 Stunden vor bis nach Hochwasser). Außerhalb der markierten Kitezone herrscht absolutes Kitesurfverbot (Badezone und Nationalparkgrenzen).
17;hooksiel-hooksieler-strand;Hooksiel - Hooksieler Strand;53.6550;8.0550;Kitespot Hooksiel: ICON-D2 Windvorhersage & Guide;Präzise ICON-D2 Winddaten für den Kitespot Hooksiel am Jadebusen. Großes Stehrevier mit eigener Surfschule.;Kitesurfen am Hooksieler Strand;Hooksiel an der Innenseite des Jadebusens bietet Kiter-Infrastruktur vom Feinsten. Der breite Gras- und Sandstrand bietet viel Platz zum Aufbauen. Bei Flut entsteht ein weitläufiges Stehrevier mit mäßiger Kabbelwelle, das sich perfekt für alle Könnensstufen eignet.;Beste Windrichtungen sind Nordwest, Nord und Nordost. Bei West- oder Südwestwind kommt der Wind leicht ablandig über den Deich und wird böig.;Auch hier bestimmt die Ebbe den Zeitplan – bei Niedrigwasser zieht sich das Wasser weit in die Jaderinne zurück. Das Parken am Strand ist in der Hauptsaison gebührenpflichtig.
18;schillig-kitesurfstrand;Schillig - Kitesurfstrand;53.7040;8.0260;Kitespot Schillig: ICON-D2 Wind & Wetter-Report;ICON-D2 Windvorhersage für den legendären Kitespot Schillig. Das riesige Flachwasser-Mekka im Wangerland.;Kitesurfen am Kitesurfstrand in Schillig;Schillig ist einer der bekanntesten und beliebtesten Kitespots in ganz Niedersachsen. Der riesige Sandstrand geht bei auflaufendem Wasser in ein gigantisches Stehrevier über. Durch die vorgelagerten Sandbänke bleibt das Wasser im Innenbereich extrem glatt – perfekt für Freestyle.;Optimal bei Wind aus West-Nordwest, Nordwest, Nord und Nordost. Bei reinem Ostwind kommt eine schöne kleine Welle über die Sandbänke.;Bei Ebbe fällt der Spot komplett trocken. Aufgrund der hohen Beliebtheit kann es im Sommer im Stehbereich sehr voll werden. Auf die ausgewiesenen Zonen der Nationalparkverwaltung achten.
19;neuharlingersiel-hafen-strand;Neuharlingersiel - Hafen/Strand;53.7025;7.7050;Kitespot Neuharlingersiel: ICON-D2 Windvorhersage;Aktueller ICON-D2 Windreport für Neuharlingersiel. Idealer Einstieg im Sielhafenort für fortgeschrittene Kiter.;Kitesurfen am Strand von Neuharlingersiel;Neuharlingersiel bietet direkt östlich des malerischen Kuttermund-Hafens eine ausgewiesene Surf- und Kitesurfzone am Grünstrand. Bei Flut füllt sich das Becken hinter der großen Steinbuhne und bietet ein schönes, leicht kabbeliges Freeride-Revier.;Funktioniert gut bei Nordwest, Nord und Nordost. Westwind ist fahrbar, kommt aber recht nah an den Deich heran.;Der Einstieg erfolgt über eine Treppe am Steindeich, was bei starkem Wind etwas Geschick erfordert. Der Spot ist sehr eng begrenzt, daher ist exzellentes Höhelaufen und Rücksichtnahme Pflicht.
20;emden-knock;Emden - Knock;53.3340;7.0180;Kitespot Emden Knock: ICON-D2 Wind & Strömungs-Guide;ICON-D2 Winddaten für den Spot Knock bei Emden an der Emsmündung. Der anspruchsvolle Thermik- und Strömungsspot.;Kitesurfen an der Knock (Emden);Die Knock liegt westlich von Emden direkt an der schmalsten Stelle der Außenems. Der Spot ist unter Locals berühmt für seine thermischen Windverstärkungen im Frühjahr und Sommer. Es bildet sich eine steile Kabbelwelle, die ideal zum Springen ist.;Hervorragend fahrbar bei Wind aus Süd, Südwest und West. Bei Nordwestwind wird das Wasser sehr unruhig.;Absoluter Experten-Spot! Keine Stehreviere, steinige Buhnen und eine mörderische Gezeitenströmung durch die Ems. Direkt an den Spot grenzt die viel befahrene Hauptschifffahrtsstraße nach Emden.
21;bremerhaven-weser-strandbad;Bremerhaven - Weser-Strandbad;53.5386;8.5722;Kitespot Bremerhaven Weser-Strandbad: ICON-D2 Windvorhersage;Aktuelle ICON-D2 Windvorhersage für das Weser-Strandbad in Bremerhaven. Alle Infos zum Kiten auf der Unterweser.;Kitesurfen im Weser-Strandbad Bremerhaven;Das Weser-Strandbad bietet eine ungewöhnliche Kulisse direkt an der Container-Kaje. Gekitet wird hier auf der strömungsreichen Unterweser. Aufgrund des Tidenhubs und des Schiffsverkehrs ist der Spot ein reines Revier für erfahrene Locals, die mit den Bedingungen umgehen können.;Funktioniert bei Wind aus West, Nordwest und Nord. Bei Ostwind weht es komplett ablandig und extrem böig über die Stadt.;Die Strömung der Weser ist lebensgefährlich und zieht massiv. Es gibt extrem regen Schiffsverkehr (Großschifffahrt). Zudem herrscht im Sommer Badebetrieb, weshalb strikte Absprachen mit den örtlichen Behörden und der DLRG zwingend nötig sind.
22;tossens-friesenstrand;Tossens - Friesenstrand;53.5828;8.2456;Kitespot Tossens Friesenstrand: ICON-D2 Wind & Wattenmeer;ICON-D2 Windreport für den Friesenstrand in Tossens (Butjadingen). Gezeitenabhängiges Kitesurfen im UNESCO-Weltnaturerbe.;Kitesurfen in Tossens am Friesenstrand;Der Friesenstrand in Tossens bietet Kitesurfern einen Einstieg direkt ins schlickige Wattenmeer der Jadebucht. Bei auflaufendem Wasser bis zum Hochwasser bildet sich hier ein interessantes Chop- und Freeride-Revier mit einer weitläufigen Rasenfläche zum Aufbauen direkt hinterm Deich.;Optimal bei Wind aus Südwest, West und Nordwest. Bei Nordwind steht der Wind direkt onshore.;Der Spot ist extrem tideabhängig und kann nur ca. 2 Stunden vor bis 2 Stunden nach Hochwasser befahren werden. Bei Ebbe zieht sich das Wasser kilometerweit zurück. Achte auf Reusen und Buhnen im Wattbereich.
23;dorum-neufeld-kutterhafen;Dorum-Neufeld - Kutterhafen;53.7439;8.5134;Kitespot Dorum-Neufeld: ICON-D2 Wind & Gezeiten-Guide;Präzise ICON-D2 Winddaten für den Kitespot am Kutterhafen Dorum-Neufeld. Infos zu Tide, Einstieg und Bedingungen.;Kitesurfen in Dorum-Neufeld (Kutterhafen);Dorum-Neufeld liegt im Cuxland und bietet ein klassisches Wurster-Wattenmeer-Revier. Gekitet wird westlich des Kutterhafens bei Hochwasser. Der Einstieg erfolgt über den Grünstrand. Bei Flut baut sich eine kurze, kabbelige Welle auf, die ideal für Freeride und Sprünge ist.;Beste Windrichtungen sind Südwest, West und Nordwest. Nordwind bringt viel Druck direkt an die Kante.;Streng tideabhängig – bei Niedrigwasser fällt der Spot komplett trocken. Unbedingt Sicherheitsabstand zu den Hafenmolen, Fahrwassermarkierungen und dem regen Badebetrieb rund um das Wellenbad halten.
24;mellum-aussenweser;Mellum - Aussenweser;53.7208;8.1511;Kitespot Mellum Außenweser: ICON-D2 Wind & Naturschutz;ICON-D2 Windvorhersage für die Region Mellum / Außenweser. Wichtige Infos zu Verboten und Naturschutz im Wattenmeer.;Kitespot Mellum (Außenweser) – Wichtiger Hinweis;Mellum ist eine unbewohnte Insel im Nationalpark Niedersächsisches Wattenmeer. Aus SEO- und Vollständigkeitsgründen im System geführt, ist das Kitesurfen direkt an und auf der Insel Mellum zum Schutz der Seevögel und Seehunde strengstens verboten und steht unter hohen Strafen.;Meteorologisch interessant für Wind aus allen Richtungen, da die Sandbänke der Außenweser völlig frei in der Deutschen Bucht liegen.;Absolutes Kiteverbot! Nutze stattdessen die legalen und hervorragend ausgestatteten Nachbarspots auf dem Festland wie Hooksiel, Schillig oder Cuxhaven-Sahlenburg.
25;wangerooge-surfstrand;Wangerooge - Surfstrand;53.7944;7.8875;Kitespot Wangerooge Surfstrand: ICON-D2 Windvorhersage;Aktueller ICON-D2 Windreport für den offiziellen Surfstrand auf Wangerooge. Gezeiten-Spot mit Nordsee-Brandung.;Kitesurfen am Surfstrand auf Wangerooge;Der offizielle Surfstrand liegt an der Nordseite der autofreien Insel Wangerooge. Kiter finden hier feinsten Sandstrand vor. Je nach Gezeitenstand bietet der Spot Flachwasserbereiche zwischen den Sandbänken (bei Niedrigwasser) oder eine anspruchsvolle Brandungswelle bei Flut.;Perfekt bei Wind aus West, Nordwest und Nord (side-onshore bis onshore). Nordost steht ebenfalls gut.;Kein ausgeprägtes Stehrevier bei Flut. Die Gezeitenströmungen zwischen den Inseln sind extrem stark. Es gilt eine strikte Zonenregelung der Kurverwaltung, um Konflikte mit Badegästen zu vermeiden.
26;fehmarn-gold;Fehmarn - Gold;54.4150;11.1022;Kitespot Fehmarn Gold: ICON-D2 Windvorhersage & Guide;Aktuelle ICON-D2 Windvorhersage für den Kitespot Gold auf Fehmarn. Erfahre alles über das riesige Flachwasser-Stehrevier.;Kitesurfen am Kitespot Fehmarn – Gold;Der Kitespot Gold an der Südwestküste Fehmarns ist eines der legendärsten Stehreviere Deutschlands. Das stehtiefe Wasser reicht hunderte Meter weit in die Orther Reede hinein, was den Spot zum absoluten Traum für Anfänger, Kursisten und Freestyler macht.;Der Spot funktioniert am besten bei Wind aus W, NW, S und SW. Bei östlichen Windrichtungen kommt der Wind über das Land und wird sehr böig.;Im direkten Einstiegsbereich befinden sich im Frühjahr/Sommer teilweise Algenbänke und Steine. Achte auf die markierten Naturschutzbereiche östlich und westlich der Kitezone und halte Abstand zu den Schulungsgruppen.
27;fehmarn-gruener-brink;Fehmarn - Grüner Brink;54.5042;11.1964;Kitespot Grüner Brink Fehmarn: ICON-D2 Windreport;ICON-D2 Windreport für den Grünen Brink auf Fehmarn. Perfekter Ostsee-Spot bei Nordwind mit großer Sandbank.;Kitesurfen am Grünen Brink (Fehmarn);Der Grüne Brink an der Nordküste Fehmarns bietet ein abwechslungsreiches Revier. Nahe am Strand sorgt eine vorgelagerte Sandbank für eine stehtiefe Flachwasser-Lagune. Weiter draußen auf der offenen Ostsee baut sich bei starkem Wind eine saubere Welle auf.;Optimal bei Wind aus Nordwest, Nord und Nordost. Bei Westwind wird der Wind durch die Küstenlinie sehr unkonstant und böig.;Direkt hinter der Sandbank beginnt das tiefe Wasser mit einer spürbaren Strömung parallel zur Küste. Das östlich gelegene Naturschutzgebiet darf unter keinen Umständen befahren werden. Im Sommer sehr beliebter Badestrand.
28;fehmarn-lemkenhafen;Fehmarn - Lemkenhafen;54.4486;11.0967;Kitespot Lemkenhafen Fehmarn: ICON-D2 Winddaten;Präzise ICON-D2 Winddaten für Lemkenhafen auf Fehmarn. Die Flachwasser-Alternative in der Orther Reede.;Kitesurfen in Lemkenhafen (Fehmarn);Lemkenhafen liegt ebenfalls an der Orther Reede und bietet ähnlich wie Gold ein riesiges, stehtiefes Flachwasserbecken. Der Einstieg erfolgt über eine schmale Wiese. Der Spot ist besonders bei Slalom- und Freestyle-Kitern sowie Foilern sehr beliebt.;Ausgezeichnet bei Wind aus Süd, Südwest und West. Bei Nordwestwind ist der Wind hier oft noch fahrbar, wenn auch leicht böig.;Der Untergrund ist teilweise schlickig und mit Muscheln durchsetzt – Booties (Neoprenschuhe) sind für Anfänger empfohlen. Unbedingt Abstand zum Yachthafen und den Fahrrinnen der Boote halten.
29;fehmarn-orth;Fehmarn - Orth;54.4439;11.0531;Kitespot Orth Fehmarn: ICON-D2 Windvorhersage;Hochaufgelöste ICON-D2 Windvorhersage für den Kitespot Orth auf Fehmarn. Perfektes Flachwasser bei Westwind.;Kitesurfen am Kitespot Orth (Fehmarn);Der Spot in Orth liegt am westlichen Ende der Orther Reede. Hier bietet sich Kitern ein riesiges Flachwasserparadies mit großem Stehbereich. Gekitet wird meist auf der östlichen Seite der Hafenmole. Das Wasser ist spiegelglatt, was ideale Bedingungen für Speed und Freestyle liefert.;Funktioniert perfekt bei Wind aus Südwest, West und Nordwest. Südwind kommt frei über die Ostsee;Das Kiten im Hafeneinfahrtsbereich und in den Fahrrinnen ist streng verboten. Der Einstieg kann schmal sein und der Deich sorgt bei bestimmten Windrichtungen für leichte Verwirbelungen direkt an der Kante.
30;fehmarn-wulfener-hals;Fehmarn - Wulfener Hals;54.4111;11.1714;Kitespot Wulfener Hals Fehmarn: ICON-D2 Wind;Aktueller ICON-D2 Windreport für den Wulfener Hals auf Fehmarn. Das Kombi-Revier zwischen Burger Binnensee und offener Ostsee.;Kitesurfen am Wulfener Hals (Fehmarn);Der Wulfener Hals ist ein einzigartiger Spot, da er eine Landzunge zwischen dem stehtiefen, geschlossenen Burger Binnensee und der offenen Ostsee (Burgerwiek) bildet. Kiter können je nach Können und Windrichtung zwischen dem spiegelglatten Binnensee oder der Ostsee-Welle wählen.;Sehr flexibel bei Wind aus Süd, Südwest, West und Ost. Nordwind kommt leicht ablandig über den Campingplatz.;Auf dem Burger Binnensee gilt eine strikte Zonenaufteilung zwischen Windsurfern und Kitesurfern (Kiter nutzen primär die Ostsee-Seite). Der Spot wird stark durch die lokale Surfschule geprägt, hohe Dichte an Anfängern im Sommer.
31;fehmarn-altenteil;Fehmarn - Altenteil;54.4981;11.1025;Kitespot Altenteil Fehmarn: ICON-D2 Wind & Wellen;ICON-D2 Windreport für Altenteil an Fehmarns Nordküste. Der anspruchsvolle Wellenspot für Experten und Wave-Kiter.;Kitesurfen am Spot Altenteil (Fehmarn);Altenteil ist der unangefochtene Experten- und Wellenspot auf Fehmarn. Bei starkem Wind aus West-Nordwest bis Nordost rollen hier massive, saubere Wellen herein. Es gibt kein nennenswertes Stehrevier. Der Strand ist steinig und der Einstieg erfordert Erfahrung.;Optimal bei Wind aus NW, N und NO (side-onshore bis onshore). Westwind funktioniert auch, bringt aber extremen Shorebreak.;Absolut ungeeignet für Anfänger! Starke Strömung parallel zur Küste, großer Shorebreak bei Sturm und ein steiniger Untergrund im Wasser machen das Revier anspruchsvoll. Der Deichbereich bietet wenig Platz zum Aufbauen.
